authors,title,abstract,keywords_detected,model_comments,model,general_comment
"Drossopoulou S,Noble J,Miller MS,Murray T",Permission and Authority Revisited towards a Formalisation,"Miller's notions of permissions and authority are foundational to the analysis of object-capability programming. Informal definitions of these concepts were given in Miller's thesis. In this paper we propose precise definitions for permissions and authority, based on a small object-oriented calculus. We quantify their bounds (current, eventual, behavioural, topological), and delineate the relationships between these definitions.","Object-Capabilities, Permission, Authority",permission based model,?,
"Chin WN,David C,Nguyen HH,Qin S",Enhancing Modular OO Verification with Separation Logic,"Conventional specifications for object-oriented (OO) programs must adhere to behavioral subtyping in support of class inheritance and method overriding. However, this requirement inherently weakens the specifications of overridden methods in superclasses, leading to imprecision during program reasoning. To address this, we advocate a fresh approach to OO verification that focuses on the distinction and relation between specifications that cater to calls with static dispatching from those for calls with dynamic dispatching. We formulate a novel specification subsumption that can avoid code re-verification, where possible. Using a predicate mechanism, we propose a flexible scheme for supporting class invariant and lossless casting. Our aim is to lay the foundation for a practical verification system that is precise, concise and modular for sequential OO programs. We exploit the separation logic formalism to achieve this.","automated verification, lossless casting, static and dynamic specifications, enhanced subsumption, separation logic",separation logic based,?,
K. J. Lieberherr; C. Xiao,Object-oriented software evolution,"The authors review propagation patterns for describing object-oriented software at a higher level of abstraction than one used by today's programming languages. A propagation pattern defines a family of programs from which one can select a member by giving a class dictionary graph that details the structure of behavior through part-of and inheritance relationships between classes. Three concepts are introduced: evolution histories, growth-plans and a propagation-directive calculus. Evolution histories describe a sequence of development phases of an object-oriented program, each phase being executable and therefore testable. To keep the programs flexible and short, they are described in terms of propagation patterns. Each phase of an evolution history is tested in small steps that are constrained by class dictionary graphs belonging to a growth-plan. Propagation directives are useful for describing both propagation patterns and growth-plans and are therefore endowed with sufficient expressiveness by being given a formal calculus applicable to object-oriented programming in general. A propagation directive is a succinct description of a family of submodels for a given family of data models.<<ETX>></ETX>",,,?,
Y. S. Kuo,When to inherit and when not to,"In object-oriented software development, it is generally accepted that inheritance should be used just to model a generalization/specialization relationship (i.e. an IS-A relation). This analysis/design guideline is too permissive. Some researchers thus advocate that a subclass should inherit the full a behavior of its superclass. Behavior inheritance, however, is far too restricted. In this paper, we establish a formal model that can clearly differentiate IS-A from behavior inheritance. Under this model, IS-A and behavior inheritance can be decomposed into more fundamental concepts: subsets and abstraction/concretization. Also, we are able to develop a set of refined guidelines regarding the use of inheritance.<<ETX>></ETX>",,,?,no source
Bruce KB,Some Challenging Typing Issues in Object-Oriented Languages: Extended Abstract,In this paper we discuss some of the remaining problems in the design of static type systems for object-oriented programming languages. We look at typing problems involved in writing a simple interpreter as a good example of a simple problem leading to difficult typing issues. The difficulties encountered seem to arise in situations where a programmer desires to simultaneously refine mutually interdependent classes and object types.,,,?,approach to a problem more than a model
"Giannini P,Richter T,Servetto M,Zucca E",Tracing sharing in an imperative pure calculus,"We introduce a type and effect system, for an imperative object calculus, which infers sharing possibly introduced by the evaluation of an expression, represented as an equivalence relation among its free variables. This direct representation of sharing effects at the syntactic level allows us to express in a natural way, and to generalize, widely-used notions in literature, notably uniqueness and borrowing. Moreover, the calculus is pure in the sense that reduction is defined on language terms only, since they directly encode store. The advantage of this non-standard execution model with respect to a behaviorally equivalent standard model using a global auxiliary structure is that reachability relations among references are partly encoded by scoping.","Imperative calculi, Sharing, Type and effect systems",,a imperative pure calculus,
"Abadi M,Cardelli L",A Theory of Primitive Objects: Untyped and First-Order Systems,"We introduce simple object calculi that support method override and object subsumption. We give an untyped calculus, typing rules, and equational rules. We illustrate the expressiveness of our calculi and the pitfalls that we avoid.",,,Abadi/Cardelli,
M. Abadi; L. Cardelli,A semantics of object types,"We give a semantics for a typed object calculus, an extension of System F with object subsumption and method override. We interpret the calculus in a per model, proving the soundness of both typing and equational rules. This semantics suggests a syntactic translation from our calculus into a simpler calculus with neither subtyping nor objects.<<ETX>></ETX>",,,Abadi/Cardelli,
Palsberg J,Efficient Inference of Object Types,"M. Abadi and L. Cardelli have recently investigated a calculus of objects (1994). The calculus supports a key feature of object-oriented languages: an object can be emulated by another object that has more refined methods. Abadi and Cardelli presented four first-order type systems for the calculus. The simplest one is based on finite types and no subtyping, and the most powerful one has both recursive types and subtyping. Open until now is the question of type inference, and in the presence of subtyping \the absence of minimum typings poses practical problems for type inference.\"" In this paper","we give an O(n3) algorithm for each of the four type inference problems and we prove that all the problems are P-complete. We also indicate how to modify the algorithms to handle functions and records.""",,Abadi/Cardelli based,
Dami L,"Operational Subsumption, an Ideal Model of Subtyping","In a previous paper we have defined a semantic preorder called operational subsumption, which compares terms according to their error generation behaviour. Here we apply this abstract framework to a concrete language, namely the Abadi-Cardelli object calculus. Unlike most semantic studies of objects, which deal with typed equalities and therefore require explicitly typed languages, we start here from a untyped world. Type inference is introduced in a second step, together with an ideal model of types and subtyping. We show how this approach flexibly accommodates for several variants, and finally propose a novel semantic interpretation of structural subtyping as embedding-projection pairs.",,,Abadi/Cardelli based,
J. Palsberg,Efficient inference of object types,"Abadi and Cardelli (1994) have investigated a calculus of objects. The calculus supports a key feature of object-oriented languages: an object can be emulated by another object that has more refined methods. Abadi and Cardelli presented four first-order type systems for the calculus. The simplest one is based on finite types and no subtyping, and the most powerful one has both recursive types and subtyping. Open until now is the question of type inference, and in the presence of subtyping ""the absence of minimum typings poses practical problems for type inference"". In this paper we give an O(n/sup 3/) algorithm for each of the four type inference problems and we prove that all the problems are P-complete.<<ETX>></ETX>",,,Abadi/Cardelli based,
D. Gopalani; M. C. Govil,Untyped Aspect Calculus : Formal theory of aspect-oriented programming languages,"The Object Calculi proposed by Abadi and Cardelli, treat objects as primitive constructs and define operations on these objects directly. This approach used by the object calculi overcomes the problem of complex encoding of objects as functions. The object calculi do not provide the direct support for aspects and its related concepts. We propose a calculus which provides direct support for aspects and other construct of Aspect-oriented programming paradigm. Our proposed calculus is an extension to the Untyped Imperative Object Calculus which is a part of the family of object calculi. We have worked upon the syntax and operational semantics of the proposed Untyped Aspect Calculus. The paper discusses the syntax and operational semantics of the calculus. Interpreter for the calculus is also designed and implemented and the same is discussed in the paper.",,,Abadi/Cardelli based,
