included in data,Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Proceedings title,Conference location,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Sharma M,Gill NS,Sikka S",Survey of Object-Oriented Metrics: Focusing on Validation and Formal Specification,SIGSOFT Softw. Eng. Notes,2012,37,6,1–5,Association for Computing Machinery,"New York, NY, USA",,,,2012-11,,0163-5948,https://doi.org/10.1145/2382756.2382770;http://dx.doi.org/10.1145/2382756.2382770,10.1145/2382756.2382770,"To quantify various attributes of object-oriented software systems, numerous object-oriented metrics have been proposed by various researchers. This paper surveys existing object-oriented metrics by focusing on the two major issues-Validation and Formal Specification. This paper provides researchers with an understanding of existing object-oriented metrics in terms of validation and formal specification. Because few metrics are validated and formally specified, there is a need of both validation and formal specification of object-oriented metrics.","validation, object-oriented metric, formal specification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Shen X,Zhang P,Yang J,Chen W,Zhang L",Research on Object-Oriented Exploration Algorithm,,2020,,,59–64,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 2020 International Conference on Cyberspace Innovation of Advanced Technologies,"Guangzhou, China",2020,9781450387828,,https://doi.org/10.1145/3444370.3444548;http://dx.doi.org/10.1145/3444370.3444548,10.1145/3444370.3444548,"In formal concept analysis, attribute exploration is a very important methodology, which can explore the logical laws between attributes in a continuous and interactive way. Object-oriented exploration is very meaningful while it is similar to attribute exploration. It can explore the implication relationship between objects. But for the existing work, almost all are attribute exploration, object-oriented exploration is rare. Research on object-oriented exploration has great practical value, such as object classification, retrieval and excavation. In order to address this problem, this article takes the object as the main research point in formal concept analysis based on related knowledge of traditional attribute exploration, and proposes theories of object-oriented exploration. According to these related theories and the framework of attribute exploration algorithm, an object-oriented exploration algorithm is proposed in this paper. The algorithm can be used to explore and understand the relationship between objects, which facilitates to understand better the relationship between objects and attributes.","Implication, Attribute exploration, Object exploration, Formal concept analysis, Concept lattice",CIAT 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,Chen J,A Typed Intermediate Language for Supporting Interfaces,,2009,,,,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 11th International Workshop on Formal Techniques for Java-like Programs,"Genova, Italy",2009,9781605585406,,https://doi.org/10.1145/1557898.1557899;http://dx.doi.org/10.1145/1557898.1557899,10.1145/1557898.1557899,"Object-oriented languages such as Java and C# provide interfaces to support a restricted form of multiple inheritance. Existing low-level typed intermediate languages for object-oriented languages, however, either do not support interfaces or require non-standard interface implementations. This paper describes a low-level typed intermediate language that can express the standard interface implementation strategies based on interface tables (itables). The language can faithfully model itables, the standard itable-based interface method invocation, and interface cast. The type system is sound and the type checking is decidable.",,FTfJP '09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Inostroza P,van der Storm T",JEff: Objects for Effect,,2018,,,111–124,Association for Computing Machinery,"New York, NY, USA",,"Proceedings of the 2018 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software","Boston, MA, USA",2018,9781450360319,,https://doi.org/10.1145/3276954.3276955;http://dx.doi.org/10.1145/3276954.3276955,10.1145/3276954.3276955,"Effect handling is a way to structure and scope side-effects which is gaining popularity as an alternative to monads in purely functional programming languages. Languages with support for effect handling allow the programmer to define idioms for state, exception handling, asynchrony, backtracking, etc. from within the language. Functional programming languages, however, prohibit certain patterns of modularity well-known from object-oriented languages. In this paper we introduce JEff, an object-oriented programming language with native support for effect handling, to provide first answers to the question what it would mean to integrate object-oriented programming with effect handling. We illustrate how user-defined effects could benefit from interface polymorphism, and present its runtime semantics and type system.","effect handling, object-oriented languages",Onward! 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,Gupta V,Validation of Dynamic Coupling Metrics for Object-Oriented Software,SIGSOFT Softw. Eng. Notes,2011,36,5,1–3,Association for Computing Machinery,"New York, NY, USA",,,,2011-09,,0163-5948,https://doi.org/10.1145/2020976.2020985;http://dx.doi.org/10.1145/2020976.2020985,10.1145/2020976.2020985,"Dynamic coupling metrics for object-oriented software provide scope of coupling measurement up to the object level and take into account important and widely used object-oriented features such as inheritance, polymorphism and dynamic binding during measurement. The dynamic measures are computed at run-time, which take into consideration the actual interactions taking place among members of a class. In this paper, an attempt has been made to evaluate dynamic coupling metrics for object-oriented software using formal evaluation framework proposed by Briand et al. A practical and useful coupling measure must satisfy most of the properties given in this framework. The results of this study show that dynamic coupling metrics satisfy all properties and parameters required by the evaluation framework and thus dynamic coupling measures are robust and useful.","software metrics, dynamic metrics, coupling, object-oriented software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Balzer S,Pfenning F",Objects as Session-Typed Processes,,2015,,,13–24,Association for Computing Machinery,"New York, NY, USA",,"Proceedings of the 5th International Workshop on Programming Based on Actors, Agents, and Decentralized Control","Pittsburgh, PA, USA",2015,9781450339018,,https://doi.org/10.1145/2824815.2824817;http://dx.doi.org/10.1145/2824815.2824817,10.1145/2824815.2824817,"A key idea in object-oriented programming is that objects encapsulate state and interact with each other by message exchange. This perspective suggests a model of computation that is inherently concurrent (to facilitate simultaneous message exchange) and that accounts for the effect of message exchange on an object's state (to express valid sequences of state transitions). In this paper we show that such a model of computation arises naturally from session-based communication. We introduce an object-oriented programming language that has processes as its only objects and employs linear session types to express the protocols of message exchange and to reason about concurrency and state. Based on various examples we show that our language supports the typical patterns of object-oriented programming (e.g., encapsulation, dynamic dispatch, and subtyping) while guaranteeing session fidelity in a concurrent setting. In addition, we show that our language facilitates new forms of expression (e.g., type-directed reuse, internal choice), which are not available in current object-oriented languages. We have implemented our language in a prototype compiler.","object, session types, protocol, linear types, process",AGERE! 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Gay SJ,Vasconcelos VT,Ravara A,Gesbert N,Caldeira AZ",Modular Session Types for Distributed Object-Oriented Programming,,2010,,,299–312,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 37th Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,"Madrid, Spain",2010,9781605584799,,https://doi.org/10.1145/1706299.1706335;http://dx.doi.org/10.1145/1706299.1706335,10.1145/1706299.1706335,"Session types allow communication protocols to be specified type-theoretically so that protocol implementations can be verified by static type-checking. We extend previous work on session types for distributed object-oriented languages in three ways. (1) We attach a session type to a class definition, to specify the possible sequences of method calls. (2) We allow a session type (protocol) implementation to be modularized , i.e. partitioned into separately-callable methods. (3) We treat session-typed communication channels as objects, integrating their session types with the session types of classes. The result is an elegant unification of communication channels and their session types, distributed object-oriented programming, and a form of typestates supporting non-uniform objects, i.e. objects that dynamically change the set of available methods. We define syntax, operational semantics, a sound type system, and a correct and complete type checking algorithm for a small distributed class-based object-oriented language. Static typing guarantees that both sequences of messages on channels, and sequences of method calls on objects, conform to type-theoretic specifications, thus ensuring type-safety. The language includes expected features of session types, such as delegation, and expected features of object-oriented programming, such as encapsulation of local state. We also describe a prototype implementation as an extension of Java.","typestates, session types, object-oriented calculus, non-uniform method availability",POPL '10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Gay SJ,Vasconcelos VT,Ravara A,Gesbert N,Caldeira AZ",Modular Session Types for Distributed Object-Oriented Programming,SIGPLAN Not.,2010,45,1,299–312,Association for Computing Machinery,"New York, NY, USA",,,,2010-01,,0362-1340,https://doi.org/10.1145/1707801.1706335;http://dx.doi.org/10.1145/1707801.1706335,10.1145/1707801.1706335,"Session types allow communication protocols to be specified type-theoretically so that protocol implementations can be verified by static type-checking. We extend previous work on session types for distributed object-oriented languages in three ways. (1) We attach a session type to a class definition, to specify the possible sequences of method calls. (2) We allow a session type (protocol) implementation to be modularized , i.e. partitioned into separately-callable methods. (3) We treat session-typed communication channels as objects, integrating their session types with the session types of classes. The result is an elegant unification of communication channels and their session types, distributed object-oriented programming, and a form of typestates supporting non-uniform objects, i.e. objects that dynamically change the set of available methods. We define syntax, operational semantics, a sound type system, and a correct and complete type checking algorithm for a small distributed class-based object-oriented language. Static typing guarantees that both sequences of messages on channels, and sequences of method calls on objects, conform to type-theoretic specifications, thus ensuring type-safety. The language includes expected features of session types, such as delegation, and expected features of object-oriented programming, such as encapsulation of local state. We also describe a prototype implementation as an extension of Java.","object-oriented calculus, session types, typestates, non-uniform method availability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Nistor L,Kurilova D,Balzer S,Chung B,Potanin A,Aldrich J","Wyvern: A Simple, Typed, and Pure Object-Oriented Language",,2013,,,9–16,Association for Computing Machinery,"New York, NY, USA",,"Proceedings of the 5th Workshop on MechAnisms for SPEcialization, Generalization and InHerItance","Montpellier, France",2013,9781450320467,,https://doi.org/10.1145/2489828.2489830;http://dx.doi.org/10.1145/2489828.2489830,10.1145/2489828.2489830,"The simplest and purest practical object-oriented language designs today are seen in dynamically-typed languages, such as Smalltalk and Self. Static types, however, have potential benefits for productivity, security, and reasoning about programs. In this paper, we describe the design of Wyvern, a statically typed, pure object-oriented language that attempts to retain much of the simplicity and expressiveness of these iconic designs.Our goals lead us to combine pure object-oriented and functional abstractions in a simple, typed setting. We present a foundational object-based language that we believe to be as close as one can get to simple typed lambda calculus while keeping object-orientation. We show how this foundational language can be translated to the typed lambda calculus via standard encodings. We then define a simple extension to this language that introduces classes and show that classes are no more than sugar for the foundational object-based language. Our future intention is to demonstrate that modules and other object-oriented features can be added to our language as not more than such syntactical extensions while keeping the object-oriented core as pure as possible.The design of Wyvern closely follows both historical and modern ideas about the essence of object-orientation, suggesting a new way to think about a minimal, practical, typed core language for objects.","first-class classes, object-oriented, static type checking",MASPEGHI '13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Chhabra JK,Gupta V",Evaluation of Object-Oriented Spatial Complexity Measures,SIGSOFT Softw. Eng. Notes,2009,34,3,1–5,Association for Computing Machinery,"New York, NY, USA",,,,2009-05,,0163-5948,https://doi.org/10.1145/1527202.1527208;http://dx.doi.org/10.1145/1527202.1527208,10.1145/1527202.1527208,"Spatial complexity measures help in the estimation of the effort re-quired in the process of program comprehension. These spatial com-plexity measures have been proposed for procedure-oriented software as well as object-oriented software. In this paper, an at-tempt has been made to evaluate object-oriented spatial complexity measures using formal evaluation frameworks proposed by Weyu-ker and Briand et al. A practical and useful complexity measure must satisfy most of the properties given in these frameworks. The results of this study show that object-oriented spatial metrics satisfy all properties and parameters required by these two evaluation frameworks and thus these spatial measures are robust and useful.","software metrics, spatial complexity measures, software complexity, software engineering, object-oriented software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
