Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Edition,Publisher,Address,Book title,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Series,,,,,,,,,,,,,,,,,,,
Journal Article,"Cornélio M,Cavalcanti A,Sampaio A",,Refactoring Towards a Layered Architecture,Electronic Notes in Theoretical Computer Science,2005,130,,281-300,,,,,2005,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066105002264;http://dx.doi.org/10.1016/j.entcs.2005.03.015,10.1016/j.entcs.2005.03.015,"In this paper we present how refactoring of object-oriented programs can be accomplished by using formal refinement. Our approach is based on the use of refactoring rules designed for a sequential object-oriented language of refinement (rool) similar to Java. We define a strategy that aims at structuring programs according to a layered architecture that involves the application of refactoring rules, object-oriented programming laws, and data and algorithm refinement. As the laws are proved in a weakest precondition semantics of rool, correctness of refactoring is ensured by construction.","Refactoring, Formal Refinement, Refinement Calculus",Proceedings of the Brazilian Symposium on Formal Methods (SBMF 2004),,,,,,,,,,,,,,,,,,,,
Journal Article,Medina J,,"Relating attribute reduction in formal, object-oriented and property-oriented concept lattices",Computers & Mathematics with Applications,2012,64,6,1992-2002,,,,,2012,,0898-1221,https://www.sciencedirect.com/science/article/pii/S0898122112002921;http://dx.doi.org/10.1016/j.camwa.2012.03.087,10.1016/j.camwa.2012.03.087,"Attribute reduction is an important step in reducing computational complexity in order to extract information from relational systems. Three of these systems are the formal, object-oriented and property oriented concept lattices. Attribute reduction in the last two concept lattices has recently been studied. The relation with the first concept lattice is very important since two important, independent tools to extract information from databases–the formal concept analysis and rough set theory–will be related. This paper studies attribute reduction in these three frameworks. The main results are that the classification of each attribute into absolutely necessary, relatively necessary and absolutely unnecessary attributes is independent of the framework considered and that an attribute reduct in one of these relational systems is also an attribute reduct in the others.","Galois connection, Formal concept analysis, Property-oriented and object-oriented concept lattices, Attribute reduction",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Dovland J,Johnsen EB,Owe O,Steffen M",,Lazy behavioral subtyping,The Journal of Logic and Algebraic Programming,2010,79,7,578-607,,,,,2010,,1567-8326,https://www.sciencedirect.com/science/article/pii/S156783261000038X;http://dx.doi.org/10.1016/j.jlap.2010.07.008,10.1016/j.jlap.2010.07.008,"Inheritance combined with late binding allows flexible code reuse but complicates formal reasoning significantly, as a method call’s receiver class is not statically known. This is especially true when programs are incrementally developed by extending class hierarchies. This paper develops a novel method to reason about late bound method calls. In contrast to traditional behavioral subtyping, reverification of method specifications is avoided without restricting method overriding to fully behavior-preserving redefinition. The approach ensures that when analyzing the methods of a class, it suffices to consider that class and its superclasses. Thus, the full class hierarchy is not needed, and incremental reasoning is supported. We formalize this approach as a calculus which lazily imposes context-dependent subtyping constraints on method definitions. The calculus ensures that all method specifications required by late bound calls remain satisfied when new classes extend a class hierarchy. The calculus does not depend on a specific program logic, but the examples in the paper use a Hoare style proof system. We show soundness of the analysis method. The paper finally demonstrates how lazy behavioral subtyping can be combined with interface specifications to produce an incremental and modular reasoning system for object-oriented class hierarchies.","Object orientation, Inheritance, Code reuse, Late binding, Proof systems, Method redefinition, Incremental reasoning, Behavioral subtyping",The 20th Nordic Workshop on Programming Theory (NWPT 2008),,,,,,,,,,,,,,,,,,,,
Journal Article,Nordlander J,,Polymorphic subtyping in O'Haskell,Science of Computer Programming,2002,43,2,93-127,,,,,2002,,0167-6423,https://www.sciencedirect.com/science/article/pii/S0167642302000266;http://dx.doi.org/10.1016/S0167-6423(02)00026-6,10.1016/S0167-6423(02)00026-6,"O'Haskell is a programming language derived from Haskell by the addition of concurrent reactive objects and subtyping. Because Haskell already encompasses an advanced type system with polymorphism and overloading, the type system of O'Haskell is much richer than what is the norm in almost any widespread object-oriented or functional language. Yet, there is strong evidence that O'Haskell is not a complex language to use, and that both Java and Haskell programmers can easily find their way with its polymorphic subtyping system. This paper describes the type system of O'Haskell both formally and from a programmer's point of view; the latter task is accomplished with the aid of an illustrative, real-world programming example: a strongly typed interface to the graphical toolkit Tk.","Type inference, Subtyping, Polymorphism, Haskell, Graphical toolkit",Mathematics of Program Construction (MPC 2000),,,,,,,,,,,,,,,,,,,,
Journal Article,"Andrade L,Sernadas A",,Banking and Management Information System Automation,IFAC Proceedings Volumes,1996,29,1,5518-5523,,,,,1996,,1474-6670,https://www.sciencedirect.com/science/article/pii/S1474667017585602;http://dx.doi.org/10.1016/S1474-6670(17)58560-2,10.1016/S1474-6670(17)58560-2,"An Object Oriented Model for large scale projects is proposed, with a formal framework for inheritance, dynamic classification, object specification decomposition, composition of objects (aggregation) and object single and joint behaviour semantics. The model is based on a full concurrent community of objects. It is advocated that such a model enhances concurrence, improves abstraction, refinement and reusability, explains different forms of inheritance and gives a concise semantic for aggregation and exception handling.","Concurrency, Events, Inheritance, Interaction, Invariants, Object, Synchronisation","13th World Congress of IFAC, 1996, San Francisco USA, 30 June - 5 July",,,,,,,,,,,,,,,,,,,,
Journal Article,"Apt KR,de Boer FS,Olderog ER,de Gouw S",,Verification of object-oriented programs: A transformational approach,Journal of Computer and System Sciences,2012,78,3,823-852,,,,,2012,,0022-0000,https://www.sciencedirect.com/science/article/pii/S002200001100081X;http://dx.doi.org/10.1016/j.jcss.2011.08.002,10.1016/j.jcss.2011.08.002,"We show that verification of object-oriented programs by means of the assertional method can be achieved in a simple way by exploiting a syntax-directed transformation from object-oriented programs to recursive programs. This transformation suggests natural proofs rules and its correctness helps us to establish soundness and relative completeness of the proposed proof system. One of the difficulties is how to properly deal in the assertion language with the instance variables and aliasing. The discussed programming language supports arrays, instance variables, failures and recursive methods with parameters. We also explain how the transformational approach can be extended to deal with other features of object-oriented programming, like classes, inheritance, subtyping and dynamic binding.","Object-oriented programs, Null references, Aliasing, Inheritance, Subtyping, Syntax-directed transformation, Recursive programs, Program verification, Strong partial correctness, Relative completeness",In Commemoration of Amir Pnueli,,,,,,,,,,,,,,,,,,,,
Journal Article,AbdelGawad MA,,A Domain-Theoretic Model Of Nominally-Typed Object-Oriented Programming,Electronic Notes in Theoretical Computer Science,2014,301,,3-19,,,,,2014,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066114000036;http://dx.doi.org/10.1016/j.entcs.2014.01.002,10.1016/j.entcs.2014.01.002,"The majority of contemporary mainstream object-oriented (OO) software is written using nominally-typed OO programming languages. Extant domain-theoretic models of OOP developed to analyze OO type systems miss crucial features of these mainstream OO languages, such as nominality. This paper summarizes the construction of NOOP as a domain-theoretic model of OOP that includes nominal information found in nominally-typed mainstream OO software. Inclusion of nominal type information and asserting that type inheritance in statically-typed OO programming languages is an inherently nominal notion allow readily proving that inheritance and subtyping are completely identified in these languages. This conclusion is in full agreement with intuitions of OO developers using these languages, and contrary to the belief that “inheritance is not subtyping”, which came from assuming non-nominal structural models of OO type systems. NOOP, thus, provides a firmer semantic foundation for analyzing and progressing nominally-typed mainstream OO programming languages.","Object-Oriented Programming, Denotational Semantics, Nominative Type Systems, Structural Type Systems, , Type Names, Inheritance, Subtyping, OOP, Java, C#",Proceedings of the 6th International Symposium on Domain Theory and Its Applications (ISDT),,,,,,,,,,,,,,,,,,,,
Journal Article,Puntigam F,,State inference for dynamically changing interfaces,Computer Languages,2001,27,4,163-202,,,,,2001,,0096-0551,https://www.sciencedirect.com/science/article/pii/S0096055101000194;http://dx.doi.org/10.1016/S0096-0551(01)00019-4,10.1016/S0096-0551(01)00019-4,"Types in current programming languages specify constant sets of messages always acceptable throughout the lifetime of the types’ instances. However, especially in concurrent object-oriented systems, the acceptability of messages often changes with the objects’ states. We propose a typed concurrent object calculus where static type checking ensures that users send only acceptable messages although message acceptability may change dynamically. The programmer specifies in types predictable state changes and dependences of message acceptance on states; a compiler infers the needed state information. This state inference has polynomial time complexity and can be used together with subtyping.","Type system, Concurrent object calculus, Behavioral typing",,,,,,,,,,,,,,,,,,,,,
Journal Article,"English M,Cahill T,Buckley J",,Construct specific coupling measurement for C++ software,"Computer Languages, Systems & Structures",2012,38,4,300-319,,,,,2012,,1477-8424,https://www.sciencedirect.com/science/article/pii/S1477842412000243;http://dx.doi.org/10.1016/j.cl.2012.06.002,10.1016/j.cl.2012.06.002,"Studies which consider the extent to which the encapsulation of a class is weakened by direct access to its hidden members (such as through the use of the friend construct in C++) are scarce, and those that do exist are based on metric suites where the enabling mechanism of the coupling is ignored. This can lead to conclusions of limited construct validity where incorrect causes of coupling are suggested. In this paper a suite of software metrics which measure the amount of coupling enabled by different C++ programming language constructs (such as friendship and inheritance) are proposed. The metrics presented are based on a formal data model which can be easily adapted for other OO languages. This formal approach removes the scope for ambiguity in the metric definitions. These metrics provide a more accurate reflection of the causative agents of coupling in Object Oriented Systems and their utility is illustrated in an empirical study towards the end of the paper.","Coupling, Software metric, C++, Friend, Inheritance, Object-oriented software, Information hiding, Encapsulation, Software measurement",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Giannini P,Servetto M,Zucca E,Cone J",,Flexible recovery of uniqueness and immutability,Theoretical Computer Science,2019,764,,145-172,,,,,2019,,0304-3975,https://www.sciencedirect.com/science/article/pii/S0304397518305668;http://dx.doi.org/10.1016/j.tcs.2018.09.001,10.1016/j.tcs.2018.09.001,"We present an imperative object calculus where types are annotated with qualifiers for aliasing and mutation control. There are two key novelties with respect to similar proposals. First, the type system is very expressive. Notably, it adopts the recovery approach, that is, using the type context to justify strengthening types, greatly improving its power by permitting to recover uniqueness and immutability properties even in presence of other references. This is achieved by rules which restrict the use of such other references in the portion of code which is recovered. Second, execution is modeled by a non standard operational model, where properties of qualifiers can be directly expressed on source terms, rather than as invariants on an auxiliary structure which mimics physical memory. Formally, this is achieved by the block construct, introducing local variable declarations, which, when evaluated, play the role of store.","Type systems, Imperative calculi, Immutability, Aliasing",Selected papers of ICTCS 2016 (The Italian Conference on Theoretical Computer Science (ICTCS),,,,,,,,,,,,,,,,,,,,
